datetime,open,high,low,close,volume
2020-01-03 15:00:00,1.1139,1.11488,1.11374,1.11382,2539
2020-01-03 16:00:00,1.11382,1.11542,1.11353,1.11524,2785
2020-01-03 17:00:00,1.11524,1.11674,1.11524,1.11634,4460
2020-01-03 18:00:00,1.11634,1.11798,1.11624,1.1172,3160
2020-01-03 19:00:00,1.1172,1.11741,1.1168,1.11722,1818
2020-01-03 20:00:00,1.11722,1.11732,1.1166,1.11669,2224
2020-01-03 21:00:00,1.11667,1.11681,1.11612,1.11674,2246
2020-01-03 22:00:00,1.11674,1.11674,1.116,1.11616,978
2020-01-03 23:00:00,1.11616,1.11621,1.1152,1.11568,904
2020-01-06 00:00:00,1.11577,1.11667,1.11577,1.11591,523
2020-01-06 01:00:00,1.11595,1.11678,1.11593,1.11605,2378
2020-01-06 02:00:00,1.11603,1.11684,1.11602,1.11636,1652
2020-01-06 03:00:00,1.11636,1.11655,1.11613,1.11628,1529
2020-01-06 04:00:00,1.11628,1.11671,1.11624,1.11655,865
2020-01-06 05:00:00,1.11656,1.1171,1.11654,1.11658,1099
2020-01-06 06:00:00,1.11658,1.11662,1.11617,1.11644,879
2020-01-06 07:00:00,1.11644,1.11651,1.11606,1.11624,600
2020-01-06 08:00:00,1.11624,1.11625,1.11572,1.11609,1136
2020-01-06 09:00:00,1.11608,1.11667,1.11598,1.11646,2368
2020-01-06 10:00:00,1.11646,1.11798,1.11632,1.11786,3033
2020-01-06 11:00:00,1.11786,1.11937,1.11752,1.11934,2782
2020-01-06 12:00:00,1.11934,1.11996,1.119,1.11963,2329
2020-01-06 13:00:00,1.11962,1.12056,1.11962,1.12032,2527
2020-01-06 14:00:00,1.12033,1.12043,1.11952,1.11981,1532
2020-01-06 15:00:00,1.11983,1.12031,1.11912,1.11976,2355
2020-01-06 16:00:00,1.11976,1.12002,1.11826,1.11832,2633
2020-01-06 17:00:00,1.11832,1.11902,1.11822,1.11886,3108
2020-01-06 18:00:00,1.11888,1.11897,1.1181,1.11872,2180
2020-01-06 19:00:00,1.11872,1.1196,1.11842,1.1195,1579
2020-01-06 20:00:00,1.11952,1.1198,1.11918,1.11919,1076
2020-01-06 21:00:00,1.11918,1.11928,1.1188,1.11912,1319
2020-01-06 22:00:00,1.11914,1.11939,1.1189,1.11936,1171
2020-01-06 23:00:00,1.11934,1.11991,1.11929,1.11969,706
2020-01-07 00:00:00,1.11954,1.1196,1.11933,1.11953,598
2020-01-07 01:00:00,1.11953,1.11974,1.1194,1.11954,842
2020-01-07 02:00:00,1.11954,1.11956,1.11892,1.11898,992
2020-01-07 03:00:00,1.11898,1.1197,1.11896,1.11934,926
2020-01-07 04:00:00,1.11934,1.11934,1.1191,1.11915,480
2020-01-07 05:00:00,1.11915,1.11944,1.11912,1.11922,680
2020-01-07 06:00:00,1.11922,1.11935,1.11906,1.1191,660
2020-01-07 07:00:00,1.1191,1.11926,1.11828,1.1183,718
2020-01-07 08:00:00,1.1183,1.11898,1.11809,1.11816,2254
2020-01-07 09:00:00,1.11816,1.11854,1.1173,1.11741,2925
2020-01-07 10:00:00,1.11741,1.11876,1.11726,1.11848,3279
2020-01-07 11:00:00,1.11847,1.11896,1.11806,1.11846,2505
2020-01-07 12:00:00,1.11846,1.11862,1.11649,1.11762,3059
2020-01-07 13:00:00,1.11762,1.11849,1.11721,1.11818,2393
2020-01-07 14:00:00,1.11818,1.11832,1.1171,1.11748,2122
2020-01-07 15:00:00,1.11747,1.11778,1.11547,1.11564,3479
2020-01-07 16:00:00,1.11563,1.11622,1.11465,1.11478,3443
2020-01-07 17:00:00,1.11478,1.11518,1.11343,1.11416,4287
2020-01-07 18:00:00,1.11416,1.1144,1.11336,1.11369,2380
2020-01-07 19:00:00,1.11369,1.11474,1.11368,1.11424,1848
2020-01-07 20:00:00,1.11424,1.11496,1.11413,1.11436,1292
2020-01-07 21:00:00,1.11436,1.1145,1.11418,1.11445,1403
2020-01-07 22:00:00,1.11445,1.11476,1.11424,1.11438,963
2020-01-07 23:00:00,1.11438,1.1152,1.11438,1.11518,1144
2020-01-08 00:00:00,1.11519,1.11534,1.11441,1.11476,1150
2020-01-08 01:00:00,1.11473,1.11543,1.11464,1.11541,2425
2020-01-08 02:00:00,1.1154,1.11682,1.11526,1.11587,5299
2020-01-08 03:00:00,1.11587,1.11633,1.11549,1.11557,3899
2020-01-08 04:00:00,1.11557,1.11614,1.11531,1.11586,3511
2020-01-08 05:00:00,1.11586,1.11592,1.11536,1.11546,1742
2020-01-08 06:00:00,1.11546,1.11558,1.11451,1.11478,1288
2020-01-08 07:00:00,1.11478,1.11513,1.11474,1.11492,1292
2020-01-08 08:00:00,1.1149,1.11539,1.11484,1.11502,1548
2020-01-08 09:00:00,1.11501,1.11549,1.11432,1.11512,3715
2020-01-08 10:00:00,1.11512,1.11533,1.11302,1.11349,5036
2020-01-08 11:00:00,1.11349,1.11448,1.11253,1.11384,2957
2020-01-08 12:00:00,1.11384,1.11386,1.11254,1.11273,2958
2020-01-08 13:00:00,1.11274,1.11312,1.11197,1.11272,2791
2020-01-08 14:00:00,1.11272,1.11305,1.1114,1.11168,2875
2020-01-08 15:00:00,1.11168,1.11224,1.1111,1.112,3477
2020-01-08 16:00:00,1.112,1.11268,1.11176,1.11246,2514
2020-01-08 17:00:00,1.11243,1.11308,1.11152,1.11198,3269
2020-01-08 18:00:00,1.11198,1.11201,1.11087,1.11164,4332
2020-01-08 19:00:00,1.11164,1.1126,1.11132,1.1118,3128
2020-01-08 20:00:00,1.1118,1.1118,1.11104,1.11132,1743
2020-01-08 21:00:00,1.11132,1.11141,1.11082,1.11113,1172
2020-01-08 22:00:00,1.11113,1.11148,1.11098,1.11119,1669
2020-01-08 23:00:00,1.1112,1.11128,1.11018,1.11041,1125
2020-01-09 00:00:00,1.11053,1.11142,1.11033,1.11095,810
2020-01-09 01:00:00,1.11097,1.1113,1.11071,1.1113,604
2020-01-09 02:00:00,1.1113,1.11158,1.11092,1.11134,1607
2020-01-09 03:00:00,1.11134,1.11194,1.11111,1.11174,1388
2020-01-09 04:00:00,1.11174,1.1119,1.11146,1.11152,971
2020-01-09 05:00:00,1.11152,1.11179,1.11142,1.11154,671
2020-01-09 06:00:00,1.11154,1.11159,1.11126,1.11155,578
2020-01-09 07:00:00,1.11154,1.1119,1.11151,1.11183,744
2020-01-09 08:00:00,1.11184,1.1119,1.11112,1.11123,1323
2020-01-09 09:00:00,1.11125,1.11204,1.11112,1.11152,2428
2020-01-09 10:00:00,1.11152,1.11178,1.11052,1.11174,2823
2020-01-09 11:00:00,1.11173,1.11192,1.10984,1.10994,3449
2020-01-09 12:00:00,1.10994,1.11118,1.10966,1.11096,2284
2020-01-09 13:00:00,1.11096,1.11126,1.11034,1.11046,1596
2020-01-09 14:00:00,1.11046,1.11168,1.11034,1.11136,2425
2020-01-09 15:00:00,1.11136,1.11174,1.11058,1.11148,2533
2020-01-09 16:00:00,1.11148,1.11148,1.11038,1.11082,2341
2020-01-09 17:00:00,1.11082,1.11108,1.10923,1.11022,2939
2020-01-09 18:00:00,1.11022,1.11062,1.10937,1.1106,2515
2020-01-09 19:00:00,1.1106,1.11114,1.11038,1.11047,1534
2020-01-09 20:00:00,1.11047,1.11086,1.11034,1.11051,1810
2020-01-09 21:00:00,1.11051,1.11098,1.1105,1.11062,1010
2020-01-09 22:00:00,1.1106,1.11074,1.11038,1.11063,998
2020-01-09 23:00:00,1.11063,1.1107,1.11034,1.11068,653
2020-01-10 00:00:00,1.11057,1.11068,1.1102,1.11066,356
2020-01-10 01:00:00,1.11066,1.11094,1.11061,1.11094,493
2020-01-10 02:00:00,1.11094,1.11095,1.11062,1.1107,1002
2020-01-10 03:00:00,1.1107,1.11074,1.11022,1.11042,813
2020-01-10 04:00:00,1.11042,1.11083,1.11036,1.11081,828
2020-01-10 05:00:00,1.11081,1.11088,1.11072,1.11082,532
2020-01-10 06:00:00,1.11082,1.1111,1.11066,1.11076,613
2020-01-10 07:00:00,1.11075,1.111,1.1107,1.1109,694
2020-01-10 08:00:00,1.1109,1.11101,1.11068,1.11092,748
2020-01-10 09:00:00,1.11092,1.11111,1.11044,1.1107,1470
2020-01-10 10:00:00,1.1107,1.11092,1.10933,1.10995,2182
2020-01-10 11:00:00,1.10994,1.11001,1.10912,1.10964,2390
2020-01-10 12:00:00,1.10964,1.10984,1.10902,1.10926,1862
2020-01-10 13:00:00,1.10926,1.10962,1.1085,1.1093,1748
2020-01-10 14:00:00,1.1093,1.10994,1.10917,1.10984,1287
2020-01-10 15:00:00,1.10984,1.11135,1.10898,1.10968,5277
2020-01-10 16:00:00,1.10968,1.11034,1.10863,1.11008,3979
2020-01-10 17:00:00,1.11008,1.1118,1.10984,1.11128,3576
2020-01-10 18:00:00,1.11128,1.11206,1.11112,1.1118,2514
2020-01-10 19:00:00,1.1118,1.11292,1.1118,1.11224,1971
2020-01-10 20:00:00,1.11224,1.11232,1.11184,1.11186,961
2020-01-10 21:00:00,1.11186,1.11232,1.11172,1.1122,1019
2020-01-10 22:00:00,1.11222,1.11222,1.11194,1.11212,973
2020-01-10 23:00:00,1.11212,1.11226,1.112,1.1121,525
2020-01-13 00:00:00,1.11106,1.11205,1.11106,1.11167,553
2020-01-13 01:00:00,1.1117,1.11184,1.11146,1.11164,646
2020-01-13 02:00:00,1.11164,1.11189,1.11161,1.11189,578
2020-01-13 03:00:00,1.11188,1.11215,1.11174,1.11214,593
2020-01-13 04:00:00,1.11214,1.11261,1.11201,1.11259,500
2020-01-13 05:00:00,1.11259,1.113,1.11254,1.11294,719
2020-01-13 06:00:00,1.11294,1.11306,1.11274,1.11274,430
2020-01-13 07:00:00,1.11274,1.1132,1.11272,1.11298,675
2020-01-13 08:00:00,1.11298,1.11304,1.11252,1.11289,774
2020-01-13 09:00:00,1.11288,1.11302,1.11222,1.11228,1742
2020-01-13 10:00:00,1.11228,1.11298,1.11202,1.11281,2022
2020-01-13 11:00:00,1.11281,1.11362,1.11148,1.11152,2874
2020-01-13 12:00:00,1.11152,1.11196,1.11127,1.1117,1687
2020-01-13 13:00:00,1.11169,1.11242,1.11166,1.11205,1531
2020-01-13 14:00:00,1.11205,1.11262,1.11186,1.11248,1644
2020-01-13 15:00:00,1.11248,1.11284,1.11184,1.11188,2203
2020-01-13 16:00:00,1.11188,1.11269,1.11177,1.11242,2594
2020-01-13 17:00:00,1.11242,1.11382,1.11211,1.11332,2668
2020-01-13 18:00:00,1.11331,1.1147,1.11326,1.11374,2252
2020-01-13 19:00:00,1.11374,1.1142,1.11356,1.114,1278
2020-01-13 20:00:00,1.114,1.1145,1.11385,1.11398,1148
2020-01-13 21:00:00,1.11398,1.11416,1.11377,1.11383,931
2020-01-13 22:00:00,1.11384,1.11387,1.11362,1.11378,849
2020-01-13 23:00:00,1.11378,1.11381,1.11334,1.11352,582
2020-01-14 00:00:00,1.11339,1.11391,1.11316,1.11351,772
2020-01-14 01:00:00,1.11351,1.11368,1.11336,1.11346,501
2020-01-14 02:00:00,1.11346,1.11423,1.11342,1.11385,1003
2020-01-14 03:00:00,1.11385,1.1141,1.11313,1.11372,1867
2020-01-14 04:00:00,1.11372,1.11388,1.11355,1.11374,973
2020-01-14 05:00:00,1.11374,1.1139,1.11354,1.11357,649
